Fecha,Hora,Pronosticada,Minera,Variable,Estacion
05/07/2023,18,62.8,Sierra Gorda,MP10,Sierra Gorda
05/07/2023,19,68.6,Sierra Gorda,MP10,Sierra Gorda
05/07/2023,20,30.2,Sierra Gorda,MP10,Sierra Gorda
05/07/2023,21,47.2,Sierra Gorda,MP10,Sierra Gorda
05/07/2023,22,59.5,Sierra Gorda,MP10,Sierra Gorda
05/07/2023,23,45.0,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,0,39.4,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,1,47.4,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,2,34.3,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,3,38.1,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,4,13.2,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,5,43.2,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,6,61.0,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,7,50.3,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,8,58.2,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,9,94.6,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,10,110.9,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,11,113.6,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,12,62.2,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,13,42.6,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,14,82.2,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,15,40.3,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,16,23.1,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,17,50.7,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,18,49.6,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,19,138.6,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,20,60.8,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,21,28.0,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,22,29.8,Sierra Gorda,MP10,Sierra Gorda
05/08/2023,23,49.8,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,0,56.5,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,1,37.3,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,2,44.7,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,3,13.6,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,4,13.9,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,5,40.4,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,6,83.5,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,7,42.6,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,8,134.8,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,9,113.8,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,10,44.6,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,11,167.3,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,12,46.2,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,13,42.6,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,14,82.2,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,15,23.1,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,16,28.8,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,17,32.4,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,18,79.0,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,19,44.9,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,20,54.7,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,21,62.4,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,22,55.6,Sierra Gorda,MP10,Sierra Gorda
05/09/2023,23,48.4,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,0,49.0,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,1,29.0,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,2,17.2,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,3,37.6,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,4,18.4,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,5,12.0,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,6,42.0,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,7,108.9,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,8,88.1,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,9,86.4,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,10,65.7,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,11,71.4,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,12,31.0,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,13,36.8,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,14,21.9,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,15,27.3,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,16,44.2,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,17,50.7,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,18,62.8,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,19,52.8,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,20,52.9,Sierra Gorda,MP10,Sierra Gorda
