"Fecha","Hora","MP10 (µg/m³N)"
"01/11/2023","19","12.5"
"01/11/2023","20","20.7"
"01/11/2023","21","32.6"
"01/11/2023","22","82.6"
"01/11/2023","23","147.4"
"02/11/2023","0","116.0"
"02/11/2023","1","255.0"
"02/11/2023","2","323.2"
"02/11/2023","3","241.2"
"02/11/2023","4","103.2"
"02/11/2023","5","114.4"
"02/11/2023","6","592.0"
"02/11/2023","7","108.5"
"02/11/2023","8","286.9"
"02/11/2023","9","185.0"
"02/11/2023","10","79.2"
"02/11/2023","11","49.8"
"02/11/2023","12","40.6"
"02/11/2023","13","27.2"
"02/11/2023","14","61.2"
"02/11/2023","15","189.3"
"02/11/2023","16","118.4"
"02/11/2023","17","117.7"
"02/11/2023","18","100.7"
"02/11/2023","19","12.5"
"02/11/2023","20","68.6"
"02/11/2023","21","26.2"
"02/11/2023","22","92.0"
"02/11/2023","23","147.8"
"03/11/2023","0","225.6"
"03/11/2023","1","255.0"
"03/11/2023","2","369.6"
"03/11/2023","3","241.2"
"03/11/2023","4","189.4"
"03/11/2023","5","98.0"
"03/11/2023","6","592.0"
"03/11/2023","7","108.5"
"03/11/2023","8","228.9"
"03/11/2023","9","337.3"
"03/11/2023","10","191.6"
"03/11/2023","11","103.2"
"03/11/2023","12","53.9"
"03/11/2023","13","42.8"
"03/11/2023","14","103.5"
"03/11/2023","15","266.1"
"03/11/2023","16","365.5"
"03/11/2023","17","59.0"
"03/11/2023","18","242.4"
"03/11/2023","19","25.4"
"03/11/2023","20","39.0"
"03/11/2023","21","26.2"
"03/11/2023","22","46.6"
"03/11/2023","23","80.2"
"04/11/2023","0","98.5"
"04/11/2023","1","158.5"
"04/11/2023","2","369.6"
"04/11/2023","3","93.6"
"04/11/2023","4","154.6"
"04/11/2023","5","123.6"
"04/11/2023","6","374.6"
"04/11/2023","7","594.1"
"04/11/2023","8","286.9"
"04/11/2023","9","333.3"
"04/11/2023","10","191.6"
"04/11/2023","11","103.2"
"04/11/2023","12","38.4"
"04/11/2023","13","27.2"
"04/11/2023","14","103.5"
"04/11/2023","15","266.1"
"04/11/2023","16","365.5"
"04/11/2023","17","59.0"
"04/11/2023","18","242.4"
"04/11/2023","19","25.4"
"04/11/2023","20","39.0"
"04/11/2023","21","27.8"
"04/11/2023","22","46.6"
"04/11/2023","23","80.2"
"05/11/2023","0","98.5"
"05/11/2023","1","167.3"
"05/11/2023","2","139.6"
"05/11/2023","3","93.6"
"05/11/2023","4","142.0"
"05/11/2023","5","160.2"
"05/11/2023","6","374.6"
"05/11/2023","7","274.2"
"05/11/2023","8","286.9"
"05/11/2023","9","333.3"
"05/11/2023","10","191.6"
"05/11/2023","11","42.9"
"05/11/2023","12","53.9"
"05/11/2023","13","42.8"
"05/11/2023","14","89.8"
"05/11/2023","15","266.1"
"05/11/2023","16","365.5"
"05/11/2023","17","59.0"
"05/11/2023","18","242.4"
"05/11/2023","19","25.4"
"05/11/2023","20","39.0"
"05/11/2023","21","111.2"
"05/11/2023","22","46.6"
"05/11/2023","23","80.2"
"06/11/2023","0","98.5"
"06/11/2023","1","459.7"
"06/11/2023","2","229.1"
"06/11/2023","3","104.8"
"06/11/2023","4","142.0"
"06/11/2023","5","123.6"
"06/11/2023","6","374.6"
"06/11/2023","7","108.5"
"06/11/2023","8","286.9"
"06/11/2023","9","333.3"
"06/11/2023","10","191.6"
"06/11/2023","11","60.7"
"06/11/2023","12","53.9"
"06/11/2023","13","42.8"
"06/11/2023","14","89.8"
"06/11/2023","15","266.1"
"06/11/2023","16","425.5"
"06/11/2023","17","59.0"
"06/11/2023","18","242.4"
"06/11/2023","19","12.5"
"06/11/2023","20","20.7"
"06/11/2023","21","26.2"
"06/11/2023","22","46.6"
"06/11/2023","23","33.9"
"07/11/2023","0","80.0"
"07/11/2023","1","459.7"
"07/11/2023","2","196.9"
"07/11/2023","3","133.8"
"07/11/2023","4","420.0"
"07/11/2023","5","150.0"
"07/11/2023","6","263.3"
"07/11/2023","7","229.8"
"07/11/2023","8","197.7"
"07/11/2023","9","92.4"
