"Fecha","Hora","MP10 (µg/m³N)"
"01/11/2023","19","114.4"
"01/11/2023","20","25.9"
"01/11/2023","21","144.0"
"01/11/2023","22","88.8"
"01/11/2023","23","229.8"
"02/11/2023","0","267.8"
"02/11/2023","1","744.0"
"02/11/2023","2","214.0"
"02/11/2023","3","361.9"
"02/11/2023","4","284.1"
"02/11/2023","5","319.3"
"02/11/2023","6","888.0"
"02/11/2023","7","414.4"
"02/11/2023","8","630.9"
"02/11/2023","9","277.5"
"02/11/2023","10","118.8"
"02/11/2023","11","34.8"
"02/11/2023","12","31.7"
"02/11/2023","13","22.4"
"02/11/2023","14","31.1"
"02/11/2023","15","50.0"
"02/11/2023","16","106.4"
"02/11/2023","17","82.4"
"02/11/2023","18","36.0"
"02/11/2023","19","53.2"
"02/11/2023","20","47.7"
"02/11/2023","21","39.3"
"02/11/2023","22","343.7"
"02/11/2023","23","72.0"
"03/11/2023","0","170.1"
"03/11/2023","1","269.0"
"03/11/2023","2","554.4"
"03/11/2023","3","361.9"
"03/11/2023","4","284.1"
"03/11/2023","5","319.3"
"03/11/2023","6","888.0"
"03/11/2023","7","294.4"
"03/11/2023","8","557.7"
"03/11/2023","9","506.0"
"03/11/2023","10","287.4"
"03/11/2023","11","38.6"
"03/11/2023","12","32.4"
"03/11/2023","13","19.0"
"03/11/2023","14","42.8"
"03/11/2023","15","186.3"
"03/11/2023","16","255.8"
"03/11/2023","17","41.3"
"03/11/2023","18","169.7"
"03/11/2023","19","49.0"
"03/11/2023","20","49.1"
"03/11/2023","21","97.8"
"03/11/2023","22","69.9"
"03/11/2023","23","67.2"
"04/11/2023","0","147.8"
"04/11/2023","1","130.5"
"04/11/2023","2","308.1"
"04/11/2023","3","522.6"
"04/11/2023","4","202.5"
"04/11/2023","5","185.4"
"04/11/2023","6","298.2"
"04/11/2023","7","821.5"
"04/11/2023","8","797.5"
"04/11/2023","9","500.0"
"04/11/2023","10","287.4"
"04/11/2023","11","38.6"
"04/11/2023","12","32.4"
"04/11/2023","13","19.5"
"04/11/2023","14","17.8"
"04/11/2023","15","186.3"
"04/11/2023","16","255.8"
"04/11/2023","17","39.3"
"04/11/2023","18","169.7"
"04/11/2023","19","49.0"
"04/11/2023","20","49.1"
"04/11/2023","21","97.8"
"04/11/2023","22","69.9"
"04/11/2023","23","67.2"
"05/11/2023","0","201.3"
"05/11/2023","1","382.5"
"05/11/2023","2","308.1"
"05/11/2023","3","522.6"
"05/11/2023","4","231.9"
"05/11/2023","5","185.4"
"05/11/2023","6","225.8"
"05/11/2023","7","923.7"
"05/11/2023","8","502.5"
"05/11/2023","9","500.0"
"05/11/2023","10","287.4"
"05/11/2023","11","42.5"
"05/11/2023","12","26.9"
"05/11/2023","13","19.0"
"05/11/2023","14","17.8"
"05/11/2023","15","186.3"
"05/11/2023","16","255.8"
"05/11/2023","17","41.3"
"05/11/2023","18","169.7"
"05/11/2023","19","42.5"
"05/11/2023","20","27.3"
"05/11/2023","21","97.8"
"05/11/2023","22","69.9"
"05/11/2023","23","67.2"
"06/11/2023","0","201.3"
"06/11/2023","1","130.5"
"06/11/2023","2","308.1"
"06/11/2023","3","522.6"
"06/11/2023","4","202.5"
"06/11/2023","5","185.4"
"06/11/2023","6","561.8"
"06/11/2023","7","528.0"
"06/11/2023","8","797.5"
"06/11/2023","9","500.0"
"06/11/2023","10","287.4"
"06/11/2023","11","38.6"
"06/11/2023","12","26.9"
"06/11/2023","13","19.5"
"06/11/2023","14","40.4"
"06/11/2023","15","186.3"
"06/11/2023","16","255.8"
"06/11/2023","17","41.3"
"06/11/2023","18","169.7"
"06/11/2023","19","48.8"
"06/11/2023","20","49.1"
"06/11/2023","21","97.8"
"06/11/2023","22","69.9"
"06/11/2023","23","67.2"
