Fecha,Hora,Pronosticada,ID_table,Minera,Variable,Estacion,OBS-PRO,uuid
10/02/2023,11,3.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,0949aeac-18b6-5435-9566-365122725041
10/02/2023,12,3.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,04cdc4c8-7cf6-5bbd-85c0-b59e5c856488
10/02/2023,13,4.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,94b81753-0c3e-5bca-8f49-53d3055347e2
10/02/2023,14,6.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,2a8b7bb1-d9a9-5434-ab8a-c2a846027200
10/02/2023,15,7.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,4316c011-49ae-5803-8681-0eaaa28ba936
10/02/2023,16,7.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,cfd7d9a4-223d-5853-ab0c-df47efd641c9
10/02/2023,17,6.3,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,dc52012a-2ae6-501e-bb0a-5d06ae364cce
10/02/2023,18,5.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,25d96886-16c0-5177-b01a-830fa5b3ae1a
10/02/2023,19,3.3,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,b1bce251-5c26-5578-8109-2b50d52f909a
10/02/2023,20,1.2,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,b3d65be3-9494-5cfb-bf90-3e80177b5eee
10/02/2023,21,1.2,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,94b1c83a-edf5-5e6a-b4d1-e26a27a4daac
10/02/2023,22,0.5,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,62ea0e62-d499-5f67-b3d4-f0089ffec50e
10/02/2023,23,0.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,58e2ace2-cda0-5f44-8dba-88f8f56a89eb
10/03/2023,0,1.1,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,296c3114-082a-523c-9f8a-1982a4778db7
10/03/2023,1,1.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,16ccdb11-733f-54b1-908c-33a4769e2664
10/03/2023,2,1.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,cfde4d37-bf8f-5d0d-9cc3-f126a1ba39d6
10/03/2023,3,1.6,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,ab36b978-15f1-58e6-9d9a-9efdaf801b5f
10/03/2023,4,2.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,c11db5dd-6de7-5f4d-b3fe-4a476823649d
10/03/2023,5,1.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,0d6670a3-fe3a-5d85-85d6-75a8e3861126
10/03/2023,6,1.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,085d58b8-2693-5a77-9551-21dee9b2b57d
10/03/2023,7,2.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,461c00af-361b-52ad-9dbc-69e8d1090938
10/03/2023,8,1.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,215103c4-916f-5645-a9da-2642626a1418
10/03/2023,9,2.9,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,4f335362-a2ad-54c2-82f0-e05f77f04b9d
10/03/2023,10,2.9,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,9903c70f-b6d5-5230-837c-39076da3478c
10/03/2023,11,3.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,c58e5366-4854-589d-830a-9bb6029fe51d
10/03/2023,12,4.4,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,6ccacae0-8813-5921-8a0a-312bdce82993
10/03/2023,13,4.4,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,bc3e0da2-355d-5db3-ba38-dfb5f66136b7
10/03/2023,14,4.5,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,8edc8c54-5cec-5fea-8449-c490ce92f251
10/03/2023,15,6.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,288dc8c1-a1b4-5955-b6c9-7b5f15c1392c
10/03/2023,16,7.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,76f3ff37-e8c6-5201-bcca-14b2e57400b3
10/03/2023,17,5.9,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,28a36339-1dfe-5d7d-82d4-b81a884738ba
10/03/2023,18,3.3,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,24bfcd46-deb1-5497-a145-58ad2b2ed7ca
10/03/2023,19,1.4,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,5d8f4981-ec7a-53de-9074-c0ad35d9550e
10/03/2023,20,1.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,34497386-99e4-5159-a86c-d5675a3a001e
10/03/2023,21,1.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,f558eaa5-b473-52a2-a3ae-a2dde42270ed
10/03/2023,22,2.5,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,c454471d-3f55-57e0-b1e8-f2274b4cb7e2
10/03/2023,23,3.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,7494448c-4812-5835-a79d-1a8f51490f60
10/04/2023,0,2.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,4deafc12-e9b8-580f-8d8c-919fcc6d168e
10/04/2023,1,2.1,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,1dc5f8cb-2ec6-5df8-aed1-f7a3b75a65db
10/04/2023,2,1.9,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,917900c0-117e-585f-8be9-4d7d0f048088
10/04/2023,3,1.4,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,05e8d8d1-440d-5b8e-9424-efc82f41db92
10/04/2023,4,2.1,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,0be54385-2f98-5d43-9c87-a361c6ce60b2
10/04/2023,5,1.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,dffbf449-2ff5-54ff-ac04-68d76942b6af
10/04/2023,6,1.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,0cf4dab0-4fa0-5153-84b9-ec3959a03f5a
10/04/2023,7,1.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,de02b583-490f-5a86-99a8-4da0ad470d3e
10/04/2023,8,3.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,55de2efe-598f-50d4-aef9-fa38668b0e53
10/04/2023,9,4.2,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,f8990cbb-74d7-5649-8f6c-1f21f50d0a95
10/04/2023,10,4.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,2e31356f-9552-5273-aa06-a500230e2154
10/04/2023,11,5.3,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,45c236d4-e7d1-5f1c-ac84-495f43af13c4
10/04/2023,12,5.1,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,cc637a3b-ded0-560c-a0f7-65ead08f435c
10/04/2023,13,4.6,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,75cea132-c1fc-599f-86c9-4b1fd6b6a276
10/04/2023,14,4.4,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,46324147-4695-5776-9e52-970244fb949c
10/04/2023,15,7.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,ace1e299-a715-5f1c-bdbf-8ad90ac5fcc1
10/04/2023,16,7.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,a4bf6d1e-15c5-5b85-b5ad-430ccc5bd56b
10/04/2023,17,5.3,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,3d725c4d-8d35-59f1-ab2d-58b9a7a43151
10/04/2023,18,2.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,9881b1e7-3ebd-520a-9486-dba8b90471f6
10/04/2023,19,0.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,580dfd3e-3eca-5135-89fc-218fc6b395a6
10/04/2023,20,2.5,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,f7ec1165-ee33-5f6b-a5b7-24ea926bf73a
10/04/2023,21,2.4,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,4cc1b225-526a-56f9-909d-9ed5f6da5ca4
10/04/2023,22,2.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,cf65bae9-3ef3-5ec8-99af-a250aa5aa496
10/04/2023,23,2.2,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,b8ad2651-5a3e-5eea-8e10-c22c9084496a
10/05/2023,0,2.1,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,f642e45e-6295-5045-9e6a-977a5b6e2919
10/05/2023,1,1.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,ca5c9a9c-cb5a-5efa-8f6a-9ec685c6a7ef
10/05/2023,2,2.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,8bfe6ba5-736a-5b78-a4ff-0b8db12e085f
10/05/2023,3,2.5,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,00860953-17b5-5673-b88c-af82ddc7c460
10/05/2023,4,1.6,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,3297c98c-52e6-5599-974f-7c7a375d991d
10/05/2023,5,1.4,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,06db4173-dda1-56c1-8d75-96eae6d2b458
10/05/2023,6,1.2,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,b798bf1a-c90f-57e8-a700-3a360f385e93
10/05/2023,7,1.4,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,b5600291-b5fd-5455-af9e-7a7892558bbd
10/05/2023,8,1.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,6727dacb-3661-50f3-b46e-ac9c1b9155a1
10/05/2023,9,2.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,8e73e9f4-6fc8-552b-86c2-babf48792eea
10/05/2023,10,4.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,35825103-20c5-50c9-a945-98cbbee66b6c
10/05/2023,11,4.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,002fe2fd-59b5-582a-a968-5fcbf55af676
10/05/2023,12,3.5,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,e41d2338-9e3a-532f-973c-aa28ac24cc52
10/05/2023,13,4.1,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,572acd08-4ae7-5cf3-bb03-4606a9b66ca1
10/05/2023,14,3.9,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,55b14be3-570d-53f0-9cc9-d59a8eb2a22a
10/05/2023,15,5.2,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,28bfa13a-b91e-530e-8fa6-5d8fd54b7d2c
10/05/2023,16,5.9,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,df3270a3-cf03-5ac9-ab3a-0d84ea83d769
10/05/2023,17,6.3,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,b0bf6c03-b9c1-5cf1-aaf7-2aa2ad3188da
10/05/2023,18,4.1,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,24d89a19-01df-5ecc-a2ff-ab9c7f4adbfe
10/05/2023,19,2.5,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,514ade27-b131-51a5-b0db-3058c0425ba4
10/05/2023,20,0.5,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,77f0ccde-669c-52d3-8906-79c195ac3781
10/05/2023,21,2.2,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,c4a6642b-6fc5-5880-adb9-cca2d7d887f1
10/05/2023,22,3.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,1aab3b86-9617-596a-94ad-cc780d074d7a
10/05/2023,23,3.3,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,1a9cd19f-ff1b-58fa-a9fb-41c69ed87d81
10/06/2023,0,2.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,440a75e1-a209-5607-a83b-f1ba4f00f602
10/06/2023,1,2.3,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,e3bb231d-b3d0-5934-b2c4-cb9f7d4c9dc3
10/06/2023,2,2.2,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,25021414-ebc0-50cc-82bd-a986832619e8
10/06/2023,3,1.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,834a8c7c-367a-5dcb-808d-283d3e5bed6e
10/06/2023,4,2.4,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,6fe2f1d7-624b-5d23-a249-3cd73573c714
10/06/2023,5,2.1,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,cf5322a5-9f94-55ce-a164-b175cf1c068b
10/06/2023,6,0.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,ad084102-c5b6-5d3d-81df-7823542fdafc
